category,department,verdict,n_pairs,net_effect_usd,t_stat,net_effect_pct,qty_lift_pct,disc_rate_treated_pct,elasticity,post56_effect_usd,t_cannibalization,significant_bh,panel_product_lift_pct,sku_mix_shift_pct,halo_effect_usd,t_halo,basket_total_usd,t_basket
FRZN NOVELTIES/WTR ICE,GROCERY,불확실,145,0.197,1.16,4.7,22.6,29.7,1.54,0.422,0.8008339841514757,False,,-0.6,1.166,0.36,1.363,0.42
CHICKEN/POULTRY,DELI,불확실,213,-0.057,-0.26,-1.0,8.4,18.9,0.77,0.519,0.4342756876945596,False,54.1,0.7,0.642,0.27,0.584,0.24
STONE FRUIT,PRODUCE,불확실,236,0.165,1.56,5.5,21.2,27.8,1.28,0.472,1.2610411464921707,False,187.2,1.4,1.064,0.51,1.229,0.59
CHEESES,DELI,불확실,244,0.081,0.71,2.0,11.2,18.2,1.12,0.283,1.0063354814170298,False,16.2,1.6,3.473,1.34,3.555,1.36
MUSHROOMS,PRODUCE,축소,119,-0.574,-8.08,-23.6,11.5,25.1,0.46,0.234,0.6874115228730613,True,,-7.9,0.223,0.09,-0.351,-0.14
YOGURT,GROCERY,불확실,488,-0.096,-1.8,-2.9,21.2,23.4,1.92,0.151,2.7044609000801683,False,,-8.2,-0.521,-0.41,-0.617,-0.49
BERRIES,PRODUCE,축소,347,-0.242,-4.04,-6.6,15.4,33.0,0.75,0.122,1.9155712187074765,True,222.0,0.5,0.477,0.26,0.234,0.13
FRZN POTATOES,GROCERY,축소,155,-0.186,-2.61,-7.0,5.6,26.9,0.35,0.199,1.17402690578595,True,,3.8,-4.554,-1.93,-4.74,-2.0
TOMATOES,PRODUCE,축소,429,-0.698,-15.55,-24.7,7.0,34.5,0.23,-0.16,2.1746775953668496,True,42.1,2.7,-1.049,-0.74,-1.748,-1.22
CITRUS,PRODUCE,불확실,159,0.104,0.84,3.6,32.5,24.7,1.49,2.167,2.7413069003776496,False,467.7,19.2,3.055,1.07,3.159,1.11
DIAPERS & DISPOSABLES,DRUG GM,불확실,111,-0.455,-1.16,-3.4,8.1,13.0,0.92,1.483,1.6038745597343331,False,,-3.4,1.871,0.59,1.416,0.45
COOKIES,PASTRY,축소,115,-0.391,-2.19,-9.1,8.9,41.7,0.39,0.793,1.8051722678648503,True,,3.2,-2.2,-0.54,-2.591,-0.64
APPLES,PRODUCE,축소,432,-0.31,-6.45,-10.4,2.6,28.4,0.1,0.47,1.0087515859896177,True,63.6,16.3,3.065,1.92,2.755,1.71
BATH TISSUES,GROCERY,불확실,144,0.133,0.81,2.7,-1.9,27.6,-0.11,-0.218,-0.8930207440468334,False,213.0,33.5,4.974,1.53,5.107,1.57
