weight_method,value_tier,churn_risk,cat_behavior,households,deep_events,full_events,visit_diff,visit_se,spend_diff,spend_se,visit_ci_low,visit_ci_high,spend_ci_low,spend_ci_high,performance_quadrant
Equal RFM,V1 Core,false,C1 Stock-up risk,218,530,1426,-0.030402427814080559,0.18085494982428454,-11.91155023696011,8.5774847321258409,-0.38487812946967825,0.32407327384151718,-28.723420311926759,4.9003198380065385,Q4 Relationship weakened
Equal RFM,V1 Core,false,C2 New trial,405,1331,5666,0.0091924637356226632,0.089551198350832625,-0.58829936566598073,4.03141562020044,-0.16632788503200929,0.18471281250325461,-8.4898739812588442,7.3132752499268818,Q2 More low-value visits
Equal RFM,V1 Core,false,C3 Regular-price repeat,409,1759,22260,-0.21576090098689851,0.091787192434282724,-8.2900946705683189,3.6573260130972938,-0.39566379815809266,-0.035858003815704365,-15.458453656239016,-1.1217356848976232,Q4 Relationship weakened
Equal RFM,V1 Core,false,C4 Promotion responsive,241,607,1084,-0.028393352288215351,0.1703886338901483,-7.2891796462941718,8.1151946534102155,-0.36235507471290607,0.30556837013647531,-23.194961166978192,8.61660187438985,Q4 Relationship weakened
Equal RFM,V1 Core,false,C5 Low-frequency/irregular,548,5859,23885,-0.087097667724477676,0.042234952391557549,-2.148654535170897,2.0836768146239395,-0.16987817441193048,-0.0043171610370248831,-6.232661091833819,1.9353520214920246,Q4 Relationship weakened
Equal RFM,V1 Core,true,C1 Stock-up risk,151,339,791,-0.19163965216200116,0.197341614332259,-1.8195418472488891,10.252611408728118,-0.57842921625322874,0.19514991192922646,-21.914660208356,18.275576513858223,Q4 Relationship weakened
Equal RFM,V1 Core,true,C2 New trial,222,617,2479,-0.28206476116712159,0.15648844957814234,-10.245298533476079,6.11120921945236,-0.5887821223402806,0.024652600006037417,-22.223268603602705,1.7326715366505461,Q4 Relationship weakened
Equal RFM,V1 Core,true,C3 Regular-price repeat,232,965,12077,-0.26631709632086975,0.10059971302397663,-12.279722551111647,4.6130942523324965,-0.46349253384786393,-0.069141658793875543,-21.32138728568334,-3.2380578165399534,Q4 Relationship weakened
Equal RFM,V1 Core,true,C4 Promotion responsive,138,348,649,-0.24730765114396838,0.19178278805494334,-7.9915097022897461,11.740138353042104,-0.62320191573165729,0.12858661344372055,-31.002180874252272,15.019161469672778,Q4 Relationship weakened
Equal RFM,V1 Core,true,C5 Low-frequency/irregular,334,2980,12536,0.014436348587592778,0.066900273305947264,-1.9413608189202152,2.7310653042377049,-0.11668818709206384,0.14556088426724939,-7.2942488152261173,3.4115271773856866,Q2 More low-value visits
Equal RFM,V2 Growth potential,false,C1 Stock-up risk,288,534,948,-0.12752843728720928,0.137105032639442,-9.0400391368652038,5.8709206055776644,-0.39625430126051553,0.141197426686097,-20.547043523797427,2.4669652500670178,Q4 Relationship weakened
Equal RFM,V2 Growth potential,false,C2 New trial,831,2560,9293,0.040609038417491264,0.057078316366574816,-0.19896615563623066,2.5789576803228509,-0.071264461660995371,0.1524825384959779,-5.253723209069018,4.8557908977965569,Q2 More low-value visits
Equal RFM,V2 Growth potential,false,C3 Regular-price repeat,620,1664,15853,-0.13568795241702705,0.074620486662809918,-3.2588721640202727,3.1994135029262125,-0.28194410627613448,0.010568201442080372,-9.52972262975565,3.0119783017151041,Q4 Relationship weakened
Equal RFM,V2 Growth potential,false,C4 Promotion responsive,302,583,879,-0.2069713215408579,0.13528069804539353,-10.523301607011458,6.0335886371517864,-0.4721214897098292,0.0581788466281134,-22.349135335828962,1.3025321218060437,Q4 Relationship weakened
Equal RFM,V2 Growth potential,false,C5 Low-frequency/irregular,1063,8560,31855,-0.11361522332893145,0.031396219615352224,-6.6943071658028979,1.4990637019641677,-0.17515181377502181,-0.0520786328828411,-9.6324720216526671,-3.756142309953129,Q4 Relationship weakened
Equal RFM,V2 Growth potential,true,C1 Stock-up risk,231,453,737,-0.24972543089426189,0.15739933307460355,-1.3966258027085958,7.6233914013044615,-0.5582281237204848,0.058777261931961061,-16.338472949265341,13.545221343848148,Q4 Relationship weakened
Equal RFM,V2 Growth potential,true,C2 New trial,537,1278,4429,-0.014353214896554105,0.076092370517408983,-8.1666021057860654,3.5141428909340688,-0.16349426111067572,0.1347878313175675,-15.054322172016839,-1.2788820395552909,Q4 Relationship weakened
Equal RFM,V2 Growth potential,true,C3 Regular-price repeat,481,1302,11850,-0.24818710121236606,0.076873982013331926,-9.3485340855293817,3.6517916617143809,-0.39886010595849664,-0.097514096466235489,-16.506045742489569,-2.1910224285691955,Q4 Relationship weakened
Equal RFM,V2 Growth potential,true,C4 Promotion responsive,252,493,692,-0.021274679905632372,0.15359147412908336,-11.92179218631898,7.4126287040546579,-0.32231396919863575,0.279764609387371,-26.450544446266107,2.6069600736281497,Q4 Relationship weakened
Equal RFM,V2 Growth potential,true,C5 Low-frequency/irregular,763,5384,19699,-0.014864028911996993,0.039002484661430782,-4.9000640633360684,1.8284025880464594,-0.091308898848401321,0.061580841024407335,-8.4837331359071282,-1.3163949907650081,Q4 Relationship weakened
Equal RFM,V3 Maintain,false,C1 Stock-up risk,182,292,441,-0.16964923050087882,0.19073533662082731,0.93739057615156,9.8380819980363441,-0.54349049027770036,0.20419202927594271,-18.345250139999674,20.220031292302796,Q3 Fewer high-value visits
Equal RFM,V3 Maintain,false,C2 New trial,1146,3447,11035,0.0089951754346529276,0.03831518501703253,-3.2578756418021295,1.6567329554288026,-0.066102587198730828,0.0840929380680367,-6.5050722344425829,-0.010679049161676613,Q2 More low-value visits
Equal RFM,V3 Maintain,false,C3 Regular-price repeat,526,963,6931,-0.12517042135763767,0.08052917221711349,-3.4451982828923176,2.9842993290772819,-0.28300759890318011,0.032666756187904766,-9.29442496788379,2.4040284020991547,Q4 Relationship weakened
Equal RFM,V3 Maintain,false,C4 Promotion responsive,207,354,451,-0.068336226307240885,0.13488646193969664,-6.5114872412879761,6.1216664389412738,-0.3327136917090463,0.1960412390945645,-18.509953461612874,5.4869789790369206,Q4 Relationship weakened
Equal RFM,V3 Maintain,false,C5 Low-frequency/irregular,1354,8083,27021,-0.11397511841191507,0.0275536559836969,-5.0790297872829013,1.0888186077881261,-0.167980284139961,-0.059969952683869149,-7.2131142585476287,-2.944945316018174,Q4 Relationship weakened
Equal RFM,V3 Maintain,true,C1 Stock-up risk,190,309,430,0.025319548872180433,0.16090481954666791,-1.4018794277360067,7.6283954688981952,-0.29005389743928867,0.34069299518364948,-16.353534546776469,13.549775691304454,Q2 More low-value visits
Equal RFM,V3 Maintain,true,C2 New trial,847,1995,6164,-0.0902580552042957,0.049080000771137409,-5.3798771537819627,2.1183465774013439,-0.186454856715725,0.0059387463071336188,-9.5318364454885973,-1.227917862075329,Q4 Relationship weakened
Equal RFM,V3 Maintain,true,C3 Regular-price repeat,453,912,7131,-0.032559282604716307,0.07689770701054062,1.7564701948669179,3.7081294410126948,-0.18327878834537592,0.11816022313594332,-5.5114635095179629,9.0244038992518,Q3 Fewer high-value visits
Equal RFM,V3 Maintain,true,C4 Promotion responsive,227,373,529,0.16479966435913579,0.14957519156530122,-10.385994440948188,7.1300868791055052,-0.12836771110885459,0.45796703982712617,-24.360964723994979,3.588975842098602,Q2 More low-value visits
Equal RFM,V3 Maintain,true,C5 Low-frequency/irregular,1158,6282,21710,-0.069527319968932119,0.033062814294256671,-5.17834122990605,1.3119922858853079,-0.13433043598567518,-0.0047242039521890461,-7.7498461102412541,-2.6068363495708469,Q4 Relationship weakened
