mode,n_pairs,qty,t_qty,spend,t_spend,reg,t_reg,gap,t_gap
legacy(검증),38327,0.41602877238114677,48.65995178138416,-0.3202679749668737,-19.42433839627716,1.8463192115224203,66.57611975648237,-0.2177360069737513,-0.8724337171201949
standard,38391,0.41860656307852767,49.828361792725254,-0.3144978309174178,-18.9885070808906,1.8529757683233155,66.61830076972524,-0.21331825633776952,-0.85894719937544
