quintile,n_pairs,net_usd,ctrl_usd,net_pct,t_net
1,4498,-0.06341110781721843,4.308859747215105,-1.4716447398456678,-1.85134755369955
2,6103,0.05117658506931421,4.0027400127695945,1.2785388235571131,1.8209818063657088
3,6869,0.2057483534755938,3.9305776011738747,5.2345577254128415,7.196202378692751
4,6500,0.25773195684920996,3.830136819010661,6.729053530672127,9.022668568136329
5,6324,0.4153440052807519,3.55070775798659,11.697499022456032,14.868814863787765
