outcome_kr,pct,t,ci_low,ci_high,sort_order
구매확률,29.054007598563302,39.169589922718664,27.600179386280818,30.507835810845787,1
총수량(0구매 포함),38.51195988329517,36.29005380078037,36.43195631577124,40.5919634508191,2
실제 매출,31.247643859963425,32.33756152106439,29.353704456844433,33.14158326308242,3
정가환산,50.02782921494882,39.97255213439902,47.574782310872926,52.48087611902471,4
