category,n_pairs,qty_pct,net_now,t_net,net_pct,d_disc,elasticity,net_later,t_cann,p,significant_bh,net_total,verdict
CHEESE,1266,27.850825612017683,0.2834137844442278,5.924856805665645,7.518851289034828,13.753272759139218,2.0250325940427865,-0.06562913233730663,-0.5761501948556549,3.125696353743582e-09,True,0.2834137844442278,확대
SALD DRSNG/SNDWCH SPRD,261,27.395316017073572,-0.0803220762798639,-1.0705158984914094,-2.939742063625272,18.733869979062437,1.4623415262138277,-0.03090841801347011,-0.20038826132865875,0.2843871566411852,False,-0.0803220762798639,불확실
VEGETABLES - SHELF STABLE,279,37.89649309517296,0.3772095683485274,3.9775214540826336,15.73900952735314,18.89315006926595,2.0058324290145935,-0.20833860126124423,-1.2304188743069,6.963734149198276e-05,True,0.3772095683485274,확대
BREAKFAST SWEETS,216,2.731585443734505,-0.12928440684216452,-1.5349482488431758,-5.901907185468196,24.98977697331193,0.10930811614092145,0.0385275126062033,0.23616347462595788,0.12479654049872049,False,-0.12928440684216452,불확실
FRZN VEGETABLE/VEG DSH,419,28.414458559131116,0.057366451224389284,0.7022200255744531,1.775409463208524,13.980801918688826,2.0323911835949917,0.1431893576324172,0.921731450143629,0.4825419588536648,False,0.057366451224389284,불확실
PORK,618,14.792160478910224,0.0014735755669290323,0.00997221898379509,0.01981104596599235,18.355583282415452,0.8058670896653571,0.10861542245066423,0.4696625847888481,0.9920434523094516,False,0.0014735755669290323,불확실
FRUIT - SHELF STABLE,149,20.92475985924142,0.22909843833885696,1.4209049357280263,6.8998604649465305,11.186336829149088,1.8705640799869518,-0.45473746852238534,-1.204069164000984,0.15534439792184906,False,0.22909843833885696,불확실
STONE FRUIT,236,21.204346098548275,0.16505850961125762,1.5622222082592063,5.547103403397125,14.319683123183982,1.4807831930455098,0.47171857504977127,1.6496511101328843,0.11823565057317904,False,0.16505850961125762,불확실
LAUNDRY DETERGENTS,151,3.4173646928189845,-0.37998088124180934,-1.6228838191563864,-5.202166910663906,16.26755487196137,0.21007242451102026,-0.12858274545656337,-0.37961145878291225,0.1046142431574037,False,-0.37998088124180934,불확실
COFFEE,109,9.239600438520892,0.5101662909763526,2.652557394164784,9.632965379828324,19.112710800949596,0.4834269996939331,-0.9698557221464827,-2.124620852161376,0.007988454540858945,True,-0.45968943117013017,축소
CHICKEN/POULTRY,213,8.417724986223373,-0.05744101064906566,-0.25795334412259213,-1.000629387967423,9.999173892445686,0.841842043829532,0.5191463071646346,1.2216201926028614,0.7964429148803039,False,-0.05744101064906566,불확실
MEAT - MISC,151,20.53771299708354,0.8208115186514029,3.128620773110365,10.611092726897011,12.724186467152327,1.6140688483387087,-0.7432034219894943,-1.5433723815839409,0.0017562881768154797,True,0.8208115186514029,확대
MILK BY-PRODUCTS,637,16.13487580607935,-0.1519785746588982,-4.765669513618732,-7.250659253203418,13.246541755173421,1.2180443850394307,0.06529722493814408,0.8520176824644173,1.8822756942209442e-06,True,-0.1519785746588982,축소
FRZN MEAT/MEAT DINNERS,645,27.732175329998736,0.6098406291380016,4.3842734585115775,8.91841746005541,14.274215958920838,1.9428160124386509,0.12982447947503253,0.43501808378380574,1.1637351472035355e-05,True,0.6098406291380016,확대
BAG SNACKS,655,4.909210227666029,0.33729499417764736,5.523903620161251,10.056240991829437,12.531789408915683,0.39174056213978464,-0.2710935959634527,-1.679158556031259,3.315493836211748e-08,True,0.33729499417764736,확대
BAKED BREAD/BUNS/ROLLS,927,22.69496511590155,-0.06914789094762365,-1.9805084465693785,-2.9874832771582938,9.908723924682914,2.290402405840347,-0.011535817396999163,-0.1169945042615442,0.04764642518252315,False,-0.06914789094762365,불확실
BATH TISSUES,144,-1.8939141171800893,0.1332922490683157,0.8056759799737025,2.6894944803052856,15.054170641410652,-0.12580660617532496,-0.21820616924107672,-0.6066755290422566,0.42042970290822124,False,0.1332922490683157,불확실
SEAFOOD-FRESH,105,10.313363043358766,0.49154408847213155,1.337476266949115,7.336601824948065,16.03942847414483,0.6430006567867214,-0.48496960729245975,-0.884456840482475,0.18106722412128484,False,0.49154408847213155,불확실
DIAPERS & DISPOSABLES,111,8.123912919384258,-0.4550613763381874,-1.1580592495987312,-3.421545351748824,8.461383910426232,0.960116336214678,1.4834528690813484,1.3040265976742549,0.24683985821543308,False,-0.4550613763381874,불확실
BREAKFAST SAUSAGE/SANDWICHES,302,22.75674627510544,-0.23983786063171225,-2.459033551150126,-5.571604222375207,18.73350033404989,1.2147621036813352,-0.0392287444821858,-0.1742580026749711,0.013931159784320161,True,-0.23983786063171225,축소
CRACKERS/MISC BKD FD,416,16.629518564246673,0.1984716533612547,3.125308103026127,7.232358213653438,15.9549349593229,1.0422805612585462,-0.20244809950618248,-1.4437505444586898,0.0017761891608137556,True,0.1984716533612547,확대
YOGURT,488,21.244941840394088,-0.09574465197482263,-1.7968309913850806,-2.9482420736039887,9.502565644701482,2.235705875101217,0.15053939740784286,0.8980981188347998,0.07236245472478428,False,-0.09574465197482263,불확실
COOKIES/CONES,213,23.757078866663893,0.5667451466219148,4.522593278848404,17.6941240886345,15.917102442201617,1.4925504785139692,0.2144804339990568,0.9330062118883216,6.108655162671691e-06,True,0.5667451466219148,확대
VEGETABLES - ALL OTHERS,282,13.262540931978478,-0.21517311223977043,-3.722203127549715,-11.50533876112899,29.27739153693186,0.4529959889100262,-0.07479987599714256,-0.6393045792449892,0.000197492043140426,True,-0.21517311223977043,축소
PASTA SAUCE,121,7.359022566150543,-0.15696366441977935,-1.8173278443113534,-5.4782889338780425,6.820891702017169,1.0788945034817412,-0.04803293778984882,-0.19285355211988356,0.06916692889999444,False,-0.15696366441977935,불확실
DINNER SAUSAGE,317,24.5388962293653,0.06951272741807175,0.6904234517388316,1.630292554572457,11.722746232599205,2.093271981024915,0.05002703058742336,0.22573507820749092,0.4899279329919719,False,0.06951272741807175,불확실
BAKED SWEET GOODS,235,23.50971834985399,0.3830418083497781,4.210678281065679,12.847345577818706,16.22702021802797,1.4488007061046893,-0.09307866286139285,-0.3488097233368286,2.5460510862876697e-05,True,0.3830418083497781,확대
CANDY - PACKAGED,318,38.678111355468225,1.2358966817844312,5.04928279652762,35.14262447536169,12.056690322762268,3.2080206358494916,-0.4130731539015292,-1.2133794574187604,4.434718372142167e-07,True,1.2358966817844312,확대
FLUID MILK PRODUCTS,1704,54.041970745030824,-0.10723304161088733,-3.9227378491852924,-3.835156552008344,30.295059131535552,1.7838542750615065,-0.02634694215937189,-0.42964639585290826,8.754839452082733e-05,True,-0.10723304161088733,축소
CHICKEN,701,25.817583916686278,-0.15510086774861565,-1.491133630996786,-2.541613421189414,24.10714564242378,1.0709515054014718,-0.3555089752124734,-1.884542330051062,0.1359264142205171,False,-0.15510086774861565,불확실
SOFT DRINKS,1257,40.61367040949106,1.275444187143318,13.850137803766875,31.380836080649587,18.725063924936098,2.168946956459037,-0.20561424102800255,-1.157543841596772,1.2696827647408407e-43,True,1.275444187143318,확대
BEEF,1323,30.23694315762905,1.6683803065514855,14.933551600160836,22.347818502023586,18.29994751992365,1.6522967142233207,-0.38418868308094595,-1.836672815935803,1.9935884146575105e-50,True,1.6683803065514855,확대
