mode,outcome,beta,se,t,ctrl,pct
legacy(검증),purchase,0.0054241935822103805,0.00012057784462840482,44.984993710300486,0.0227307710112309,23.862778695585714
legacy(검증),qty,0.012981506893046644,0.0003210660683860915,40.432509602465984,0.03852988779420324,33.692044374444535
legacy(검증),net,0.02006216493952841,0.0005488090829026741,36.55581797848313,0.07797130669713434,25.73018946245998
legacy(검증),gross,0.033451951797057664,0.0007561459155491469,44.240074711986466,0.08615167302596495,38.82913775449921
standard,purchase,0.005826795664371456,0.00014875814824376985,39.169589922718664,0.020055049702195255,29.054007598563302
standard,qty,0.01229665113985498,0.0003388435632352399,36.29005380078037,0.03192943484859813,38.51195988329517
standard,net,0.020049674816998007,0.0006200119574241192,32.33756152106439,0.06416379713891643,31.247643859963425
standard,gross,0.03491956113915592,0.0008735884819599831,39.97255213439902,0.06980027254255039,50.02782921494882
