quintile,n_pairs,net_usd,ctrl_usd,net_pct,t_net,quintile_kr,ci_low,ci_high,net_usd_ci_low,net_usd_ci_high
1,4498,-0.0634111078172184,4.308859747215105,-1.4716447398456678,-1.85134755369955,Q1 비의존,-3.029657812179688,0.08636833248835263,-0.13054370594736833,0.0037214903129315358
2,6103,0.0511765850693142,4.0027400127695945,1.2785388235571131,1.8209818063657088,Q2,-0.09760677296219278,2.654684420076419,-0.003906945356530869,0.10626011549515926
3,6869,0.2057483534755938,3.9305776011738742,5.2345577254128415,7.196202378692751,Q3,3.808842799414202,6.660272651411481,0.1497095219376986,0.261787185013489
4,6500,0.2577319568492099,3.830136819010661,6.729053530672127,9.022668568136329,Q4,5.267296975998901,8.190810085345353,0.201744680844369,0.31371923285405084
5,6324,0.4153440052807519,3.55070775798659,11.697499022456032,14.868814863787764,Q5 최다의존,10.155540346257057,13.239457698655007,0.36059355894000755,0.4700944516214962
