category,n_pairs,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,visit28_ci_low,visit28_ci_high,spend28_ci_low,spend28_ci_high
MEAT - MISC,175,-0.3831041582134018,-1.8980025621993029,-11.108191398424172,-1.341733085900553,Q4 약화,-0.7787222490700251,0.012513932643221426,-27.335006828184756,5.118624031336413
VEGETABLES - SHELF STABLE,744,0.0867115066970861,1.2501386633683178,2.2745517744240216,0.7220802215728104,Q1 강화,-0.049237054935565766,0.22266006832973798,-3.899445718763861,8.448549267611904
CHEESE,1102,-0.0482688029868801,-0.8706088782591692,-2.810140949025234,-1.1325631979760262,Q4 약화,-0.1569362611495589,0.0603986551757987,-7.673336459820957,2.053054561770489
COFFEE,192,0.075944429249018,0.506062709515705,9.55805734332045,1.245703242900452,Q1 강화,-0.2181912154629263,0.3700800739609623,-5.480670780473281,24.59678546711418
PORK,540,0.0246825169160656,0.2964026217280586,-2.7259110724706694,-0.6131714761990829,Q2 방문증가·지출감소,-0.13853376259401862,0.18789879642614982,-11.439274151851471,5.987452006910132
SALD DRSNG/SNDWCH SPRD,556,0.0941906669537554,1.016219109357034,2.2998181466375835,0.5138713076347856,Q1 강화,-0.08747655966055852,0.27585789356806933,-6.472112685922733,11.071748979197901
STONE FRUIT,233,-0.0227686475007667,-0.2045685277379359,-3.0291719140976845,-0.4904646112001886,Q4 약화,-0.24091827977788763,0.1953809847763542,-15.134381578670482,9.076037750475113
FRUIT - SHELF STABLE,398,0.128891425960497,1.1552075350577806,-2.2073006821261933,-0.3822200501854179,Q2 방문증가·지출감소,-0.08979412379220464,0.3475769757131986,-13.52619757115285,9.111596206900462
BREAKFAST SWEETS,210,-0.1663706529699532,-1.088160322804009,-6.974774983181483,-1.0240729440905358,Q4 약화,-0.4660383333544368,0.13329702741453034,-20.323979301020707,6.374429334657741
FRZN VEGETABLE/VEG DSH,180,0.1131817449087925,0.7460242155899471,13.314794051234298,1.6532428495252385,Q1 강화,-0.18417618984109735,0.4105396796586824,-2.470543443443809,29.100131545912404
SPICES & EXTRACTS,410,-0.0492663317267845,-0.3874548039258871,2.417557544200475,0.4159558104406804,Q3 방문감소·지출증가,-0.29848768401376796,0.19995502056019898,-8.97406788257951,13.80918297098046
PWDR/CRYSTL DRNK MX,91,0.1865408502058318,0.6505167932915098,11.122225513645262,0.8380286252562972,Q1 강화,-0.37550469600282477,0.7485863964144883,-14.890683055053902,37.13513408234442
